lat,lon,year,name
38.14425,-120.87251,2022,Calaveras - CORRAL 1102 - 3rd Party
35.48686,-120.96796,2022,San Luis Obispo - CAYUCOS 1101 - Equipment
36.17885,-121.16466,2022,Monterey - KING CITY 1103 - Equipment
38.76454,-122.11113,2022,Yolo - MADISON 2101 - Unknown
37.16335,-122.00153,2022,Santa Clara - LOS GATOS 1106 - Vegetation
38.30566,-122.4718,2022,Sonoma - SONOMA 1102 - Unknown
38.16406,-120.40199,2022,Calaveras - STANISLAUS 1701 - Company Initiated
37.20067,-121.83798,2022,Santa Clara - HICKS 2101 - Unknown
38.4716,-122.91094,2022,Sonoma - MIRABEL 1101 - Vegetation
37.16335,-122.00153,2022,Santa Clara - LOS GATOS 1106 - Animal
38.14103,-120.93242,2022,Calaveras - CORRAL 1101 - Unknown
35.60818,-118.93159,2022,Kern - POSO MOUNTAIN 2101 - Animal
38.37264,-122.34751,2022,Napa - PUEBLO 2104 - Unknown
40.13386,-122.32478,2022,Tehama - TYLER 1105 - Unknown
37.38742,-119.64062,2022,Madera - OAKHURST 1103 - Unknown
38.83535,-120.79989,2022,El Dorado - PLACERVILLE 2106 - Unknown
38.99673,-122.66154,2022,Lake - REDBUD 1102 - Animal
40.26062,-122.24261,2022,Tehama - RED BLUFF 1104 - Animal
39.10406,-122.19481,2022,Colusa - CORTINA 1101 - 3rd Party
37.08354,-121.98507,2022,Santa Cruz - CAMP EVERS 2106 - Unknown
34.58767,-120.03462,2022,Santa Barbara - SANTA YNEZ 1101 - Unknown
38.97479,-122.59851,2022,Lake - HIGHLANDS 1102 - Animal
37.3247,-119.65639,2022,Madera - OAKHURST 1102 - Animal
37.01781,-119.40926,2022,Fresno - AUBERRY 1101 - Unknown
35.40111,-120.60592,2022,San Luis Obispo - ATASCADERO 1103 - Animal
37.89497,-120.58059,2022,Calaveras - PEORIA 1704 - Unknown
38.46282,-122.19143,2022,Napa - MONTICELLO 1101 - Animal
35.60818,-118.93159,2022,Kern - POSO MOUNTAIN 2101 - Animal
34.72863,-120.13194,2022,Santa Barbara - ZACA 1101 - Equipment
34.94534,-120.2312,2022,Santa Barbara - SISQUOC 1102 - Unknown
39.05205,-122.64479,2022,Lake - REDBUD 1101 - Company Initiated
34.94534,-120.2312,2022,Santa Barbara - SISQUOC 1102 - 3rd Party
37.07722,-121.65846,2022,Santa Clara - MORGAN HILL 2105 - Animal
38.51908,-122.50554,2022,Napa - SILVERADO 2105 - Animal
35.45977,-120.52856,2022,San Luis Obispo - TEMPLETON 2113 - Unknown
36.74567,-119.06887,2022,Fresno - DUNLAP 1103 - Equipment
35.21197,-120.70549,2022,San Luis Obispo - SAN LUIS OBISPO 1107 - Equipment
40.39569,-122.39006,2022,Shasta - COTTONWOOD 1102 - Vegetation
39.11073,-121.0478,2022,Nevada - HIGGINS 1104 - Unknown
38.44621,-122.68389,2022,Sonoma - SANTA ROSA A 1107 - Unknown
37.77199,-121.96116,2022,Contra Costa - TASSAJARA 2113 - Unknown
40.14172,-120.96364,2022,Plumas - BIG MEADOWS 2101 - Animal
38.29361,-122.23765,2022,Napa - NAPA 1112 - Equipment
35.21197,-120.70549,2022,San Luis Obispo - SAN LUIS OBISPO 1107 - Vegetation
38.29959,-122.31146,2022,Napa - NAPA 1110 - Company Initiated
38.34826,-120.52298,2022,Calaveras - WEST POINT 1102 - 3rd Party
37.55071,-121.94048,2022,Alameda - FREMONT 1104 - Unknown
37.92778,-122.08907,2022,Contra Costa - LAKEWOOD 2107 - Unknown
35.21197,-120.70549,2022,San Luis Obispo - SAN LUIS OBISPO 1107 - Equipment
37.36139,-121.79932,2022,Santa Clara - MC KEE 1111 - 3rd Party
36.28541,-121.30705,2022,Monterey - LOS OSITOS 2103 - Unknown
38.30566,-122.4718,2022,Sonoma - SONOMA 1102 - Unknown
36.97833,-121.83326,2022,Santa Cruz - ROB ROY 2104 - Animal
39.18282,-122.92877,2022,Lake - UPPER LAKE 1101 - Unknown
38.99876,-122.89866,2022,Lake - CLEAR LAKE 1102 - Unknown
40.8597,-123.53264,2022,Trinity - WILLOW CREEK 1103 - Unknown
36.59729,-121.63591,2022,Monterey - RESERVATION ROAD 1102 - 3rd Party
35.21197,-120.70549,2022,San Luis Obispo - SAN LUIS OBISPO 1107 - Equipment
38.27625,-122.00983,2022,Solano - PEABODY 2113 - Equipment
39.63829,-123.47791,2022,Mendocino - LAYTONVILLE 1102 - Unknown
39.33823,-123.11028,2022,Mendocino - POTTER VALLEY P H 1105 - 3rd Party
38.00314,-122.6105,2022,Marin - WOODACRE 1102 - Vegetation
37.88113,-121.64804,2022,Contra Costa - BRENTWOOD 2105 - Equipment
35.60818,-118.93159,2022,Kern - POSO MOUNTAIN 2101 - Unknown
37.08268,-122.0578,2022,Santa Cruz - CAMP EVERS 2105 - Equipment
35.6447,-120.77637,2022,San Luis Obispo - PASO ROBLES 1104 - 3rd Party
38.0077,-122.12843,2022,Contra Costa - ALHAMBRA 1102 - 3rd Party
39.07657,-122.95219,2022,Lake - HARTLEY 1101 - Unknown
38.48251,-123.07517,2022,Sonoma - MONTE RIO 1111 - Vegetation
38.51812,-120.78908,2022,Amador - OLETA 1102 - Unknown
36.28541,-121.30705,2022,Monterey - LOS OSITOS 2103 - Unknown
38.10669,-122.61283,2022,Marin - STAFFORD 1102 - Unknown
40.44797,-122.38601,2022,Shasta - JESSUP 1102 - 3rd Party
39.65941,-121.40629,2022,Butte - BIG BEND 1102 - Unknown
38.30566,-122.4718,2022,Sonoma - SONOMA 1102 - Unknown
35.60818,-118.93159,2022,Kern - POSO MOUNTAIN 2101 - 3rd Party
39.59977,-121.09162,2022,Yuba - CHALLENGE 1101 - 3rd Party
38.83535,-120.79989,2022,El Dorado - PLACERVILLE 2106 - Unknown
37.02736,-119.52231,2022,Fresno - AUBERRY 1102 - Unknown
35.60818,-118.93159,2022,Kern - POSO MOUNTAIN 2101 - Animal
38.98539,-123.11578,2022,Mendocino - HOPLAND 1101 - Vegetation
38.34045,-122.3711,2022,Napa - PUEBLO 2103 - Equipment
35.38172,-120.83609,2022,San Luis Obispo - MORRO BAY 1101 - Unknown
37.31287,-122.36206,2022,San Mateo - HALF MOON BAY 1103 - Unknown
37.49035,-122.42086,2022,San Mateo - HALF MOON BAY 1101 - Unknown
36.9775,-122.03365,2022,Santa Cruz - PAUL SWEET 2105 - Vegetation
37.20067,-121.83798,2022,Santa Clara - HICKS 2101 - Unknown
39.84971,-121.59851,2022,Butte - ORO FINO 1101 - Vegetation
35.81584,-120.95504,2022,San Luis Obispo - OILFIELDS 1103 - Equipment
39.91039,-121.62436,2022,Butte - ORO FINO 1102 - Unknown
37.49035,-122.42086,2022,San Mateo - HALF MOON BAY 1101 - Equipment
37.88113,-121.64804,2022,Contra Costa - BRENTWOOD 2105 - Unknown
37.01818,-122.01567,2022,Santa Cruz - CAMP EVERS 2103 - Vegetation
38.92714,-121.16296,2022,Placer - WISE 1102 - Unknown
40.6537,-122.36527,2022,Shasta - OREGON TRAIL 1102 - Unknown
39.26903,-120.9611,2022,Nevada - BRUNSWICK 1105 - Unknown
35.21197,-120.70549,2022,San Luis Obispo - SAN LUIS OBISPO 1107 - Equipment
37.98455,-122.53434,2022,Marin - SAN RAFAEL 1106 - Animal
40.39569,-122.39006,2022,Shasta - COTTONWOOD 1102 - 3rd Party
