lat,lon,year,date,end_date,name,county,circuit,cause,outage_type,division,customer_minutes,restoration_min,medical_baseline,life_support,schools,hospitals
38.43098,-121.96267,2022,2022-05-23,2022-05-23,VACA DIXON 1105,Solano,VACA DIXON 1105,3rd Party,FTS,Sacramento,102522,580,148,110,0,0
38.84079,-121.12009,2022,2022-05-23,2022-05-23,PENRYN 1103,Placer,PENRYN 1103,Vegetation,FTS,Sierra,52009,293,16,9,0,0
39.20114,-121.19767,2022,2022-05-23,2022-05-23,NARROWS 2105,Nevada,NARROWS 2105,Vegetation,FTS,Sierra,893409,394,245,145,4,0
37.08354,-121.98507,2022,2022-05-23,2022-05-23,CAMP EVERS 2106,Santa Cruz,CAMP EVERS 2106,Unknown,FTS,Central Coast,70085,287,19,14,0,0
37.08354,-121.98507,2022,2022-05-23,2022-05-23,CAMP EVERS 2106,Santa Cruz,CAMP EVERS 2106,3rd Party,FTS,Central Coast,9798,69,17,14,0,0
38.48806,-122.38568,2022,2022-05-23,2022-05-23,SILVERADO 2102,Napa,SILVERADO 2102,Equipment,FTS,North Bay,27891,381,2,2,0,0
37.35906,-119.72919,2022,2022-05-23,2022-05-24,OAKHURST 1101,Madera,OAKHURST 1101,Vegetation,FTS,Yosemite,503732,535,178,131,2,0
38.24131,-122.15798,2022,2022-05-23,2022-05-24,JAMESON 1102,Solano,JAMESON 1102,Unknown,FTS,Sacramento,206694,914,71,52,0,0
38.70958,-123.00093,2022,2022-05-23,2022-05-24,GEYSERVILLE 1101,Sonoma,GEYSERVILLE 1101,Unknown,FTS,Sonoma,70116,978,3,2,0,0
39.35331,-121.08345,2022,2022-05-23,2022-05-25,COLUMBIA HILL 1101,Nevada,COLUMBIA HILL 1101,Equipment,FTS,Sierra,62009,2411,2,2,0,0
39.25432,-121.17462,2022,2022-05-23,2022-05-24,NARROWS 2102,Nevada,NARROWS 2102,Equipment,FTS,Sierra,712544,1092,56,33,7,0
35.86294,-120.69806,2022,2022-05-24,2022-05-24,SAN MIGUEL 1106,San Luis Obispo,SAN MIGUEL 1106,3rd Party,FTS,Los Padres,23718,402,1,0,0,0
39.05659,-121.36023,2022,2022-05-24,2022-05-24,WHEATLAND 1105,Yuba,WHEATLAND 1105,Unknown,FTS,Sacramento,109942,331,24,16,0,0
38.92714,-121.16296,2022,2022-05-24,2022-05-24,WISE 1102,Placer,WISE 1102,Unknown,FTS,Sierra,62260,283,15,12,0,0
37.91116,-122.55011,2022,2022-05-24,2022-05-24,ALTO 1124,Marin,ALTO 1124,Unknown,FTS,North Bay,3000,75,0,0,0,0
37.15033,-121.62781,2022,2022-05-24,2022-05-24,MORGAN HILL 2104,Santa Clara,MORGAN HILL 2104,Unknown,FTS,San Jose,69537,279,25,17,0,0
37.89144,-122.55864,2022,2022-05-24,2022-05-24,ALTO 1125,Marin,ALTO 1125,Unknown,FTS,North Bay,4816,56,6,6,0,0
37.50948,-119.88494,2022,2022-05-24,2022-05-24,MARIPOSA 2101,Mariposa,MARIPOSA 2101,Unknown,FTS,Yosemite,139194,285,50,41,0,0
37.50948,-119.88494,2022,2022-05-24,2022-05-24,MARIPOSA 2101,Mariposa,MARIPOSA 2101,Unknown,FTS,Yosemite,53088,237,15,6,0,0
40.55829,-122.23532,2022,2022-05-24,2022-05-24,DESCHUTES 1104,Shasta,DESCHUTES 1104,Equipment,FTS,North Valley,42963,522,27,19,0,0
38.04016,-120.25467,2022,2022-05-24,2022-05-24,MIWUK 1702,Tuolumne,MIWUK 1702,Equipment,FTS,Yosemite,96063,303,66,49,0,0
38.79536,-122.56201,2022,2022-05-24,2022-05-24,MIDDLETOWN 1102,Lake,MIDDLETOWN 1102,Equipment,FTS,Humboldt,34666,291,42,31,0,0
38.70958,-123.00093,2022,2022-05-24,2022-05-24,GEYSERVILLE 1101,Sonoma,GEYSERVILLE 1101,Unknown,FTS,Sonoma,12247,135,3,2,0,0
38.61385,-122.90611,2022,2022-05-24,2022-05-25,FITCH MOUNTAIN 1113,Sonoma,FITCH MOUNTAIN 1113,Unknown,FTS,Sonoma,191607,867,6,4,0,0
37.04218,-121.53599,2022,2022-05-24,2022-05-25,LLAGAS 2101,Santa Clara,LLAGAS 2101,Equipment,FTS,San Jose,23276,311,12,11,0,0
38.36189,-120.68598,2022,2022-05-24,2022-05-24,ELECTRA 1101,Amador,ELECTRA 1101,Unknown,FTS,Stockton,99680,160,65,43,0,0
39.44231,-121.52461,2022,2022-05-25,2022-05-25,WYANDOTTE 1109,Butte,WYANDOTTE 1109,Unknown,FTS,North Valley,51801,210,31,24,0,0
